 step     T          P        Pxy       etotal     epotential      ebonded     ekinetic
    0   0.9947    0.43314 -0.00682   578928.375     1182.604   547897.508    29848.262
   10   0.9730    0.42685 -0.00696   578264.221     1194.927   547874.530    29194.764
   20   0.9734    0.42944 -0.00712   578255.693     1195.539   547851.307    29208.848
   30   0.9737    0.43193 -0.00750   578235.144     1191.767   547827.470    29215.908
   40   0.9738    0.43434 -0.00783   578220.489     1197.444   547803.330    29219.715
   50   0.9741    0.43686 -0.00811   578202.317     1195.103   547778.509    29228.705
   60   0.9746    0.43945 -0.00842   578184.891     1188.996   547753.382    29242.514
   70   0.9754    0.44225 -0.00864   578181.079     1185.015   547727.572    29268.492
   80   0.9758    0.44489 -0.00904   578164.497     1182.041   547701.399    29281.057
   90   0.9759    0.44738 -0.00930   578126.936     1167.601   547675.331    29284.003
  100   0.9760    0.44984 -0.00953   578105.011     1170.323   547649.161    29285.527
  110   0.9763    0.45244 -0.00976   578091.674     1174.916   547622.680    29294.078
  120   0.9766    0.45501 -0.00989   578080.818     1178.876   547596.852    29305.090
  130   0.9772    0.45759 -0.00996   578074.032     1179.880   547571.661    29322.491
  140   0.9773    0.45990 -0.01008   578063.063     1190.999   547546.896    29325.168
  150   0.9772    0.46213 -0.00996   578033.373     1190.543   547522.050    29320.780
  160   0.9778    0.46464 -0.00980   578021.402     1185.353   547497.277    29338.772
  170   0.9782    0.46711 -0.00953   578011.661     1186.288   547472.641    29352.732
  180   0.9784    0.46950 -0.00913   578003.679     1196.101   547448.253    29359.325
  190   0.9790    0.47200 -0.00866   577990.691     1188.869   547424.462    29377.360
  200   0.9794    0.47445 -0.00811   577977.545     1189.323   547400.851    29387.371
  210   0.9792    0.47670 -0.00734   577958.027     1196.812   547378.005    29383.210
  220   0.9794    0.47904 -0.00653   577933.345     1191.147   547355.648    29386.550
  230   0.9792    0.48135 -0.00564   577911.049     1194.347   547333.528    29383.174
  240   0.9792    0.48363 -0.00478   577899.529     1206.291   547312.786    29380.452
  250   0.9790    0.48582 -0.00382   577875.694     1205.538   547293.717    29376.439
  260   0.9789    0.48805 -0.00271   577858.448     1211.366   547275.650    29371.432
  270   0.9788    0.49036 -0.00164   577836.078     1209.244   547258.090    29368.743
  280   0.9787    0.49271 -0.00075   577833.505     1224.468   547241.328    29367.709
  290   0.9785    0.49490  0.00040   577821.067     1232.567   547226.406    29362.094
  300   0.9789    0.49721  0.00159   577833.541     1247.677   547213.156    29372.708
  310   0.9792    0.49935  0.00265   577831.809     1249.208   547201.740    29380.861
  320   0.9788    0.50115  0.00370   577812.460     1249.061   547192.081    29371.319
  330   0.9782    0.50274  0.00482   577780.933     1244.616   547183.986    29352.331
  340   0.9779    0.50441  0.00596   577770.940     1249.672   547177.274    29343.993
  350   0.9772    0.50576  0.00715   577738.772     1244.082   547172.219    29322.471
  360   0.9766    0.50698  0.00825   577716.395     1243.554   547168.910    29303.930
  370   0.9759    0.50791  0.00944   577693.948     1242.932   547167.901    29283.115
  380   0.9752    0.50866  0.01062   577678.029     1247.788   547168.147    29262.094
  390   0.9745    0.50914  0.01166   577657.946     1248.050   547170.009    29239.887
  400   0.9741    0.50952  0.01258   577646.440     1243.409   547173.629    29229.402
  410   0.9732    0.50933  0.01349   577622.473     1240.739   547179.459    29202.274
  420   0.9726    0.50902  0.01425   577610.246     1241.364   547186.366    29182.516
  430   0.9720    0.50847  0.01496   577596.230     1233.965   547195.152    29167.114
  440   0.9722    0.50783  0.01579   577608.749     1231.444   547205.842    29171.462
  450   0.9716    0.50667  0.01644   577607.414     1236.025   547217.292    29154.097
  460   0.9713    0.50536  0.01701   577612.397     1237.736   547229.916    29144.744
  470   0.9714    0.50382  0.01749   577634.336     1242.660   547244.248    29147.427
  480   0.9716    0.50199  0.01790   577651.472     1236.280   547260.164    29155.027
  490   0.9719    0.49976  0.01808   577683.437     1243.075   547277.741    29162.621
  500   0.9722    0.49716  0.01821   577717.403     1248.394   547297.107    29171.902
  510   0.9720    0.49405  0.01826   577736.589     1254.318   547317.565    29164.706
  520   0.9724    0.49093  0.01809   577773.178     1255.430   547339.013    29178.734
  530   0.9726    0.48747  0.01796   577796.429     1251.379   547361.172    29183.878
  540   0.9727    0.48375  0.01786   577815.043     1244.733   547384.199    29186.111
  550   0.9730    0.47981  0.01777   577848.780     1244.833   547408.783    29195.164
  560   0.9730    0.47555  0.01760   577874.758     1245.634   547434.152    29194.972
  570   0.9730    0.47109  0.01735   577905.907     1249.532   547460.644    29195.730
  580   0.9737    0.46671  0.01719   577958.170     1253.089   547488.185    29216.896
  590   0.9742    0.46219  0.01705   578005.225     1256.090   547515.997    29233.139
  600   0.9748    0.45766  0.01689   578052.918     1260.243   547543.678    29248.997
  610   0.9751    0.45311  0.01680   578088.459     1258.697   547570.817    29258.945
  620   0.9754    0.44855  0.01682   578126.567     1260.152   547598.010    29268.405
  630   0.9754    0.44391  0.01676   578150.740     1257.320   547624.961    29268.459
  640   0.9760    0.43952  0.01680   578187.758     1249.024   547651.984    29286.749
  650   0.9764    0.43511  0.01699   578229.109     1252.714   547678.638    29297.758
  660   0.9770    0.43091  0.01695   578284.932     1263.219   547705.161    29316.552
  670   0.9775    0.42680  0.01689   578328.904     1267.261   547731.427    29330.216
  680   0.9783    0.42310  0.01692   578385.743     1274.027   547756.535    29355.180
  690   0.9784    0.41947  0.01705   578415.898     1278.487   547780.021    29357.390
  700   0.9789    0.41628  0.01716   578458.059     1284.517   547802.147    29371.395
  710   0.9786    0.41311  0.01710   578475.952     1289.786   547822.710    29363.457
  720   0.9790    0.41059  0.01706   578503.782     1287.607   547841.291    29374.883
  730   0.9788    0.40817  0.01709   578515.070     1285.166   547858.560    29371.344
  740   0.9790    0.40632  0.01699   578532.783     1283.225   547873.503    29376.055
  750   0.9786    0.40463  0.01682   578527.411     1278.331   547886.529    29362.552
  760   0.9788    0.40354  0.01672   578550.394     1283.429   547898.034    29368.931
  770   0.9788    0.40270  0.01654   578564.120     1287.011   547908.094    29369.015
  780   0.9789    0.40225  0.01611   578572.739     1283.906   547916.727    29372.106
  790   0.9784    0.40183  0.01576   578569.145     1286.814   547924.116    29358.215
  800   0.9781    0.40178  0.01528   578560.467     1280.672   547929.932    29349.862
  810   0.9778    0.40206  0.01469   578539.626     1265.765   547933.672    29340.190
  820   0.9775    0.40258  0.01396   578547.514     1279.850   547936.120    29331.544
  830   0.9770    0.40332  0.01315   578527.678     1275.391   547936.896    29315.392
  840   0.9767    0.40445  0.01230   578521.469     1278.832   547935.633    29307.004
  850   0.9765    0.40576  0.01137   578518.188     1285.641   547932.790    29299.756
  860   0.9763    0.40723  0.01048   578511.018     1288.666   547928.819    29293.534
  870   0.9759    0.40890  0.00944   578492.147     1287.246   547922.812    29282.089
  880   0.9751    0.41061  0.00826   578465.005     1291.552   547915.211    29258.243
  890   0.9743    0.41259  0.00707   578433.013     1292.921   547905.322    29234.769
  900   0.9742    0.41503  0.00591   578425.206     1299.328   547893.546    29232.332
  910   0.9738    0.41737  0.00482   578400.876     1300.446   547881.035    29219.395
  920   0.9737    0.41991  0.00365   578382.180     1297.826   547867.421    29216.933
  930   0.9734    0.42238  0.00267   578340.808     1281.729   547852.503    29206.576
  940   0.9733    0.42501  0.00158   578324.600     1284.065   547836.149    29204.385
  950   0.9730    0.42759  0.00056   578297.651     1285.046   547818.090    29194.515
  960   0.9732    0.43038 -0.00045   578289.436     1289.312   547799.282    29200.843
  970   0.9729    0.43302 -0.00140   578262.842     1291.077   547779.432    29192.333
  980   0.9726    0.43573 -0.00229   578227.064     1284.892   547758.076    29184.096
  990   0.9723    0.43849 -0.00311   578193.152     1282.219   547735.535    29175.399
 1000   0.9722    0.44130 -0.00390   578170.761     1287.727   547712.181    29170.853
 1010   0.9723    0.44426 -0.00451   578139.590     1278.301   547687.471    29173.818
 1020   0.9726    0.44735 -0.00493   578119.315     1272.805   547661.718    29184.792
 1030   0.9732    0.45042 -0.00528   578098.141     1261.709   547635.743    29200.688
 1040   0.9731    0.45317 -0.00559   578077.359     1267.837   547609.570    29199.952
 1050   0.9735    0.45611 -0.00596   578061.995     1268.097   547582.270    29211.628
 1060   0.9736    0.45888 -0.00627   578031.402     1262.564   547554.572    29214.266
 1070   0.9738    0.46160 -0.00642   578013.539     1265.781   547526.921    29220.836
 1080   0.9741    0.46421 -0.00657   577974.505     1246.409   547499.932    29228.164
 1090   0.9741    0.46662 -0.00673   577957.494     1254.890   547473.559    29229.045
 1100   0.9738    0.46883 -0.00682   577916.818     1250.611   547447.467    29218.741
 1110   0.9742    0.47126 -0.00688   577907.506     1254.602   547421.678    29231.225
 1120   0.9749    0.47371 -0.00698   577893.213     1244.935   547396.624    29251.653
 1130   0.9753    0.47591 -0.00707   577876.353     1237.872   547372.775    29265.706
 1140   0.9757    0.47800 -0.00715   577862.303     1236.898   547349.824    29275.581
 1150   0.9757    0.47991 -0.00730   577842.754     1238.083   547327.678    29276.993
 1160   0.9759    0.48180 -0.00749   577819.399     1230.745   547306.371    29282.283
 1170   0.9762    0.48372 -0.00772   577808.423     1229.630   547285.816    29292.977
 1180   0.9768    0.48574 -0.00798   577806.948     1231.472   547265.782    29309.694
 1190   0.9770    0.48760 -0.00843   577786.621     1224.390   547246.157    29316.073
 1200   0.9771    0.48937 -0.00866   577766.845     1220.499   547227.393    29318.953
 1210   0.9772    0.49096 -0.00907   577747.925     1215.485   547210.594    29321.845
 1220   0.9778    0.49265 -0.00968   577751.923     1215.095   547195.517    29341.311
 1230   0.9783    0.49410 -0.01022   577762.398     1225.771   547182.478    29354.149
 1240   0.9782    0.49529 -0.01080   577750.051     1226.989   547170.503    29352.559
 1250   0.9781    0.49644 -0.01155   577744.516     1236.338   547159.146    29349.031
 1260   0.9786    0.49771 -0.01236   577750.116     1238.185   547148.989    29362.942
 1270   0.9787    0.49869 -0.01322   577748.828     1241.267   547140.406    29367.155
 1280   0.9788    0.49950 -0.01423   577736.955     1234.067   547133.249    29369.639
 1290   0.9792    0.50026 -0.01546   577738.323     1228.786   547127.756    29381.782
 1300   0.9794    0.50073 -0.01670   577742.341     1230.756   547124.253    29387.332
 1310   0.9791    0.50083 -0.01799   577718.255     1217.624   547122.463    29378.168
 1320   0.9786    0.50071 -0.01939   577704.015     1217.538   547122.138    29364.339
 1330   0.9785    0.50050 -0.02082   577697.239     1212.005   547123.864    29361.370
 1340   0.9787    0.50018 -0.02228   577700.064     1207.126   547127.385    29365.553
 1350   0.9790    0.49976 -0.02369   577725.583     1217.271   547132.460    29375.852
 1360   0.9787    0.49896 -0.02504   577714.449     1208.581   547138.824    29367.043
 1370   0.9787    0.49819 -0.02638   577726.760     1213.849   547145.622    29367.289
 1380   0.9784    0.49713 -0.02765   577720.339     1209.121   547153.676    29357.541
 1390   0.9783    0.49602 -0.02876   577729.560     1210.767   547162.876    29355.917
 1400   0.9780    0.49462 -0.02984   577736.155     1218.058   547173.439    29344.658
 1410   0.9778    0.49316 -0.03082   577735.206     1209.437   547185.252    29340.517
 1420   0.9775    0.49146 -0.03178   577736.477     1207.803   547198.240    29330.433
 1430   0.9778    0.48991 -0.03261   577763.811     1211.689   547211.933    29340.189
 1440   0.9780    0.48812 -0.03342   577782.676     1209.431   547226.893    29346.352
 1450   0.9780    0.48606 -0.03422   577790.587     1202.841   547243.009    29344.737
 1460   0.9772    0.48351 -0.03469   577788.753     1205.924   547260.418    29322.411
 1470   0.9772    0.48104 -0.03507   577815.358     1214.941   547278.899    29321.518
